name site;
Aitcho Islands;
Alcock Island;
Arago Glacier;
Ardley Island;
Argentine Islands;
Astrolabe Island;
Baily Head;
Barcroft Islands;
Bennett Islands;
Berthelot Islands;
Blaiklock Island;
Bongrain Point;
Brown Bluff;
Camp Point;
Challenger Island;
Charcot, Port;
Christiania Islands;
Christiania Islands;
Comb Ridge;
Cormorant Island;
Crystal Hill;
Cuverville Island;
Damoy Point;
Danco Island;
Danger Islands;
Demaria, Mount;
Detaille Island;
Devil Island;
Dorian Bay;
Dubouzet, Cape;
Dundas, Cape;
D Urville Monument;
Duthiers Point;
Duthoit Point;
Enterprise Island;
Evensen, Cape;
Fildes Peninsula;
Fish Islands;
Gage, Cape;
Gaston Islands;
Georges Point;
Gibbs Island;
Gin Cove;
Girard Bay;
Gosling Islands;
Goudier Island;
Gourdin Island;
Half Moon Island;
Hannah Point;
Heim Glacier;
Heroina Island;
Heywood Island;
Horseshoe Island;
Hovgaard Island;
Huemul Island;
Hydrurga Rocks;
Intercurrence Island;
Jonassen Island;
Jougla Point;
Kinnes, Cape;
Kjellman, Cape;
Lagarrigue Cove;
Lockroy, Port;
Lookout, Cape;
Macaroni Point;
Madder Cliffs;
Martin, Point;
Melchior Islands;
Melville, Cape;
Metchnikoff Point;
Mill, Mount;
Murray Island;
Neko Harbor;
Orne Islands;
Palaver Point;
Paulet Island;
Pendulum Cove;
Penguin Island;
Penguin Point;
Petermann Island;
Pitt Islands;
Pitt Point;
Pléneau Island;
Portal Point;
Port Lockroy;
Prospect Point;
Robert Point;
Rongé Island;
Rosamel Island;
Rum Cove;
Seymour Island;
Shingle Cove;
Skontorp Cove;
Small Island;
Snow Hill Island;
Spigot Peak;
Spring Point;
Stonington Island;
Su‚àö¬∞rez Glacier;
Telefon Bay;
Torgersen Island;
Turret Point;
Tuxen, Cape;
Useful Island;
Valentine, Cape;
View Point;
Waddington Bay;
Wauwermans Islands;
Whalers Bay;
Wiggins Glacier;
Wild, Point;
Yalour Islands;
Yankee Harbor;
Ushuaia;
Bertha's beach;
Bleaker Island;
Carcass Island;
George & Barren Islands;
Grand Jason;
Grave Cove;
Gypsy Cove;
Kidney Cove;
New Island;
Pebble Island;
Port Howard;
Saunders Island;
Sea Lion Island;
Second Passage Island;
Steeple Jason;
Volunteer Point;
Weddell Island;
West Point Island;
Elsehul;
Prion Island;
Salisbury Plain;
Prince Olav Harbour;
Fortuna Bay;
Hercules Bay;
Leith Harbour;
Stromness Harbour;
Husvik;
Jason Harbour;
Grytviken (King Edward Point);
Maiviken;
Cobblers Cove;
Godthul;
Ocean Harbour;
Saint Andrews Bay;
Moltke Harbour;
Will Point & Brisbane Point;
Gold Harbour;
Cooper Bay;
Drygalski Fjord & Larsen Harbour;
King Haakon Bay;
\0